iter	Passed	Remaining
151	320	1788
152	321	1779
153	322	1770
154	323	1761
155	323	1752
156	324	1743
157	325	1734
158	326	1726
159	327	1717
160	327	1709
161	328	1700
162	329	1692
163	330	1684
164	331	1676
165	332	1668
166	332	1659
167	333	1652
168	334	1644
169	335	1636
170	336	1629
171	336	1621
172	337	1614
173	338	1607
174	339	1600
175	340	1593
176	341	1585
177	341	1578
178	342	1571
179	343	1564
180	343	1555
181	344	1549
182	345	1542
183	346	1535
184	347	1529
185	348	1523
186	348	1516
187	349	1510
188	350	1503
189	351	1497
190	352	1491
191	352	1485
192	353	1479
193	354	1473
194	355	1467
195	356	1461
196	357	1455
197	358	1450
198	358	1444
199	359	1438
200	360	1433
201	361	1427
202	362	1422
203	363	1416
204	363	1411
205	364	1405
206	365	1400
207	366	1394
208	367	1389
209	367	1384
210	368	1379
211	369	1373
212	370	1368
213	371	1363
214	372	1358
215	372	1353
216	373	1348
217	374	1343
218	375	1338
219	376	1333
220	376	1328
221	377	1323
222	378	1318
223	379	1314
224	380	1309
225	380	1304
226	381	1300
227	382	1295
228	383	1290
229	384	1286
230	385	1281
231	385	1277
232	386	1273
233	387	1268
234	388	1264
235	389	1260
236	390	1255
237	390	1251
238	391	1247
239	392	1242
240	393	1238
241	394	1234
242	394	1230
243	395	1226
244	396	1222
245	397	1218
246	398	1214
247	399	1209
248	399	1205
249	400	1201
250	401	1198
251	402	1193
252	402	1189
253	403	1185
254	404	1181
255	405	1178
256	406	1174
257	406	1170
258	407	1166
259	408	1162
260	409	1159
261	410	1155
262	410	1151
263	411	1147
264	412	1144
265	413	1140
266	414	1136
267	414	1133
268	415	1129
269	416	1126
270	417	1122
271	418	1119
272	418	1115
273	419	1112
274	420	1108
275	421	1105
276	422	1102
277	423	1099
278	424	1095
279	424	1092
280	425	1089
281	426	1086
282	427	1082
283	428	1079
284	429	1076
285	429	1073
286	430	1069
287	431	1066
288	432	1063
289	433	1060
290	433	1057
291	434	1054
292	435	1051
293	436	1048
294	437	1045
295	438	1041
296	438	1038
297	439	1035
298	440	1032
299	441	1029
300	442	1026
301	442	1023
302	443	1020
303	444	1017
304	445	1015
305	446	1012
306	447	1009
307	447	1006
308	448	1003
309	449	1000
310	450	998
311	451	995
312	452	992
313	452	989
314	453	986
315	454	984
316	455	981
317	456	978
318	457	975
319	457	972
320	458	970
321	459	967
322	460	964
323	461	961
324	461	959
325	462	956
326	463	953
327	464	951
328	465	948
329	465	945
330	466	943
331	467	940
332	468	937
333	469	935
334	469	932
335	470	929
336	471	927
337	472	925
338	473	922
339	474	920
340	474	917
341	475	915
342	476	912
343	477	910
344	478	907
345	478	905
346	479	902
347	480	900
348	481	897
349	482	895
350	482	892
351	483	890
352	484	888
353	485	885
354	486	883
355	487	880
356	487	878
357	488	876
358	489	873
359	490	871
360	491	869
361	491	866
362	492	864
363	493	862
364	494	860
365	495	858
366	496	855
367	497	853
368	497	851
369	498	849
370	499	846
371	500	844
372	501	842
373	501	840
374	502	837
375	503	835
376	504	833
377	505	831
378	506	829
379	506	826
380	507	824
381	508	822
382	509	820
383	510	818
384	511	816
385	511	814
386	512	812
387	513	810
388	514	807
389	515	805
390	515	803
391	516	801
392	517	799
393	518	797
394	519	795
395	520	793
396	520	791
397	521	789
398	522	786
399	523	784
400	524	782
401	524	780
402	525	778
403	526	776
404	527	774
405	528	772
406	529	770
407	529	768
408	530	766
409	531	764
410	532	762
411	533	760
412	533	758
413	534	756
414	535	755
415	536	753
416	537	751
417	538	749
418	538	747
419	539	745
420	540	743
421	541	741
422	542	739
423	543	737
424	543	735
425	544	733
426	545	732
427	546	730
428	547	728
429	548	726
430	549	724
431	549	722
432	550	721
433	551	719
434	552	717
435	553	715
436	553	713
437	554	711
438	555	709
439	556	708
440	557	706
441	558	704
442	558	702
443	559	700
444	560	699
445	561	697
446	562	695
447	563	693
448	563	692
449	564	690
450	565	688
451	566	686
452	567	685
453	568	683
454	569	681
455	569	679
456	570	678
457	571	676
458	572	674
459	573	673
460	574	671
461	575	669
462	575	667
463	576	666
464	577	664
465	578	662
466	579	661
467	580	659
468	580	657
469	581	656
470	582	654
471	583	652
472	584	650
473	585	649
474	585	647
475	586	645
476	587	644
477	588	642
478	589	640
